,Year,Month,Day,Cluster,Rainfall
15,1999,1,16,3,0
16,1999,1,17,3,0
17,1999,1,18,3,0
18,1999,1,19,3,0
19,1999,1,20,3,0
20,1999,1,21,3,0
21,1999,1,22,3,0
22,1999,1,23,3,0
23,1999,1,24,3,0
24,1999,1,25,3,0
25,1999,1,26,3,0
26,1999,1,27,3,0
27,1999,1,28,3,0
28,1999,1,29,3,0
29,1999,1,30,3,0
30,1999,1,31,3,0
46,1999,2,16,3,0
47,1999,2,17,3,0
48,1999,2,18,3,0
49,1999,2,19,3,0
50,1999,2,20,3,0
51,1999,2,21,3,0
52,1999,2,22,3,0
53,1999,2,23,3,0
54,1999,2,24,3,0
55,1999,2,25,3,0
56,1999,2,26,3,0
57,1999,2,27,3,0
58,1999,2,28,3,0
59,1999,2,29,3,0
60,1999,2,30,3,0
61,1999,2,31,3,0
77,1999,3,16,3,0
78,1999,3,17,3,0
79,1999,3,18,3,0
80,1999,3,19,3,0
81,1999,3,20,3,0
82,1999,3,21,3,0
83,1999,3,22,3,0
84,1999,3,23,3,0
85,1999,3,24,3,0
86,1999,3,25,3,0
87,1999,3,26,3,0
88,1999,3,27,3,0
89,1999,3,28,3,0
90,1999,3,29,3,0
91,1999,3,30,3,0
92,1999,3,31,3,0
108,1999,4,16,3,0
109,1999,4,17,3,0
110,1999,4,18,3,0
111,1999,4,19,3,18
112,1999,4,20,3,0
113,1999,4,21,3,0
114,1999,4,22,3,0
115,1999,4,23,3,0
116,1999,4,24,3,0
117,1999,4,25,3,0
118,1999,4,26,3,0
119,1999,4,27,3,0
120,1999,4,28,3,0
121,1999,4,29,3,0
122,1999,4,30,3,0
123,1999,4,31,3,0
139,1999,5,16,3,28
140,1999,5,17,3,0
141,1999,5,18,3,0
142,1999,5,19,3,0
143,1999,5,20,3,0
144,1999,5,21,3,26
145,1999,5,22,3,4
146,1999,5,23,3,37
147,1999,5,24,3,1
148,1999,5,25,3,0
149,1999,5,26,3,0
150,1999,5,27,3,0
151,1999,5,28,3,2
152,1999,5,29,3,17
153,1999,5,30,3,25
154,1999,5,31,3,0
170,1999,6,16,3,0
171,1999,6,17,3,0
172,1999,6,18,3,0
173,1999,6,19,3,2
174,1999,6,20,3,0
175,1999,6,21,3,31
176,1999,6,22,3,2
177,1999,6,23,3,97
178,1999,6,24,3,16
179,1999,6,25,3,10
180,1999,6,26,3,91
181,1999,6,27,3,11
182,1999,6,28,3,9
183,1999,6,29,3,17
184,1999,6,30,3,12
185,1999,6,31,3,0
201,1999,7,16,3,1
202,1999,7,17,3,1
203,1999,7,18,3,2
204,1999,7,19,3,3
205,1999,7,20,3,84
206,1999,7,21,3,28
207,1999,7,22,3,5
208,1999,7,23,3,0
209,1999,7,24,3,1
210,1999,7,25,3,0
211,1999,7,26,3,6
212,1999,7,27,3,3
213,1999,7,28,3,7
214,1999,7,29,3,8
215,1999,7,30,3,24
216,1999,7,31,3,15
232,1999,8,16,3,31
233,1999,8,17,3,4
234,1999,8,18,3,0
235,1999,8,19,3,3
236,1999,8,20,3,8
237,1999,8,21,3,1
238,1999,8,22,3,5
239,1999,8,23,3,0
240,1999,8,24,3,0
241,1999,8,25,3,0
242,1999,8,26,3,9
243,1999,8,27,3,32
244,1999,8,28,3,72
245,1999,8,29,3,7
246,1999,8,30,3,3
247,1999,8,31,3,6
263,1999,9,16,3,4
264,1999,9,17,3,0
265,1999,9,18,3,10
266,1999,9,19,3,40
267,1999,9,20,3,1
268,1999,9,21,3,41
269,1999,9,22,3,125
270,1999,9,23,3,39
271,1999,9,24,3,17
272,1999,9,25,3,2
273,1999,9,26,3,0
274,1999,9,27,3,0
275,1999,9,28,3,2
276,1999,9,29,3,0
277,1999,9,30,3,0
278,1999,9,31,3,0
294,1999,10,16,3,0
295,1999,10,17,3,5
296,1999,10,18,3,48
297,1999,10,19,3,60
298,1999,10,20,3,39
299,1999,10,21,3,51
300,1999,10,22,3,6
301,1999,10,23,3,0
302,1999,10,24,3,0
303,1999,10,25,3,0
304,1999,10,26,3,0
305,1999,10,27,3,0
306,1999,10,28,3,0
307,1999,10,29,3,0
308,1999,10,30,3,0
309,1999,10,31,3,15
325,1999,11,16,3,0
326,1999,11,17,3,0
327,1999,11,18,3,0
328,1999,11,19,3,0
329,1999,11,20,3,0
330,1999,11,21,3,0
331,1999,11,22,3,0
332,1999,11,23,3,0
333,1999,11,24,3,0
334,1999,11,25,3,0
335,1999,11,26,3,0
336,1999,11,27,3,0
337,1999,11,28,3,0
338,1999,11,29,3,0
339,1999,11,30,3,0
340,1999,11,31,3,0
356,1999,12,16,3,0
357,1999,12,17,3,0
358,1999,12,18,3,0
359,1999,12,19,3,0
360,1999,12,20,3,0
361,1999,12,21,3,0
362,1999,12,22,3,0
363,1999,12,23,3,0
364,1999,12,24,3,0
365,1999,12,25,3,0
366,1999,12,26,3,0
367,1999,12,27,3,0
368,1999,12,28,3,0
369,1999,12,29,3,0
370,1999,12,30,3,0
371,1999,12,31,3,0
387,1999,1,16,3,0
388,1999,1,17,3,0
389,1999,1,18,3,0
390,1999,1,19,3,0
391,1999,1,20,3,0
392,1999,1,21,3,0
393,1999,1,22,3,0
394,1999,1,23,3,0
395,1999,1,24,3,0
396,1999,1,25,3,0
397,1999,1,26,3,0
398,1999,1,27,3,0
399,1999,1,28,3,0
400,1999,1,29,3,0
401,1999,1,30,3,0
402,1999,1,31,3,0
418,1999,2,16,3,0
419,1999,2,17,3,0
420,1999,2,18,3,0
421,1999,2,19,3,0
422,1999,2,20,3,0
423,1999,2,21,3,0
424,1999,2,22,3,0
425,1999,2,23,3,0
426,1999,2,24,3,0
427,1999,2,25,3,0
428,1999,2,26,3,0
429,1999,2,27,3,0
430,1999,2,28,3,0
431,1999,2,29,3,0
432,1999,2,30,3,0
433,1999,2,31,3,0
449,1999,3,16,3,0
450,1999,3,17,3,0
451,1999,3,18,3,0
452,1999,3,19,3,0
453,1999,3,20,3,0
454,1999,3,21,3,0
455,1999,3,22,3,0
456,1999,3,23,3,0
457,1999,3,24,3,0
458,1999,3,25,3,0
459,1999,3,26,3,0
460,1999,3,27,3,0
461,1999,3,28,3,0
462,1999,3,29,3,0
463,1999,3,30,3,0
464,1999,3,31,3,0
480,1999,4,16,3,0
481,1999,4,17,3,0
482,1999,4,18,3,0
483,1999,4,19,3,4
484,1999,4,20,3,0
485,1999,4,21,3,0
486,1999,4,22,3,0
487,1999,4,23,3,0
488,1999,4,24,3,0
489,1999,4,25,3,0
490,1999,4,26,3,0
491,1999,4,27,3,0
492,1999,4,28,3,0
