,StationIndex,Station,Year,Month,Day,Rainfall
0,1,Dhaka,1999,1,1,0
1,1,Dhaka,1999,1,2,0
2,1,Dhaka,1999,1,3,0
3,1,Dhaka,1999,1,4,0
4,1,Dhaka,1999,1,5,0
5,1,Dhaka,1999,1,6,0
6,1,Dhaka,1999,1,7,0
7,1,Dhaka,1999,1,8,0
8,1,Dhaka,1999,1,9,0
9,1,Dhaka,1999,1,10,0
10,1,Dhaka,1999,1,11,0
11,1,Dhaka,1999,1,12,0
12,1,Dhaka,1999,1,13,0
13,1,Dhaka,1999,1,14,0
14,1,Dhaka,1999,1,15,0
15,1,Dhaka,1999,1,16,0
16,1,Dhaka,1999,1,17,0
17,1,Dhaka,1999,1,18,0
18,1,Dhaka,1999,1,19,0
19,1,Dhaka,1999,1,20,0
20,1,Dhaka,1999,1,21,0
21,1,Dhaka,1999,1,22,0
22,1,Dhaka,1999,1,23,0
23,1,Dhaka,1999,1,24,0
24,1,Dhaka,1999,1,25,0
25,1,Dhaka,1999,1,26,0
26,1,Dhaka,1999,1,27,0
27,1,Dhaka,1999,1,28,0
28,1,Dhaka,1999,1,29,0
29,1,Dhaka,1999,1,30,0
30,1,Dhaka,1999,1,31,0
31,1,Dhaka,1999,2,1,0
32,1,Dhaka,1999,2,2,0
33,1,Dhaka,1999,2,3,0
34,1,Dhaka,1999,2,4,0
35,1,Dhaka,1999,2,5,0
36,1,Dhaka,1999,2,6,0
37,1,Dhaka,1999,2,7,0
38,1,Dhaka,1999,2,8,0
39,1,Dhaka,1999,2,9,0
40,1,Dhaka,1999,2,10,0
41,1,Dhaka,1999,2,11,0
42,1,Dhaka,1999,2,12,0
43,1,Dhaka,1999,2,13,0
44,1,Dhaka,1999,2,14,0
45,1,Dhaka,1999,2,15,0
46,1,Dhaka,1999,2,16,0
47,1,Dhaka,1999,2,17,0
48,1,Dhaka,1999,2,18,0
49,1,Dhaka,1999,2,19,0
50,1,Dhaka,1999,2,20,0
51,1,Dhaka,1999,2,21,0
52,1,Dhaka,1999,2,22,0
53,1,Dhaka,1999,2,23,0
54,1,Dhaka,1999,2,24,0
55,1,Dhaka,1999,2,25,0
56,1,Dhaka,1999,2,26,0
57,1,Dhaka,1999,2,27,0
58,1,Dhaka,1999,2,28,0
59,1,Dhaka,1999,2,29,0
60,1,Dhaka,1999,2,30,0
61,1,Dhaka,1999,2,31,0
62,1,Dhaka,1999,3,1,0
63,1,Dhaka,1999,3,2,0
64,1,Dhaka,1999,3,3,0
65,1,Dhaka,1999,3,4,0
66,1,Dhaka,1999,3,5,0
67,1,Dhaka,1999,3,6,0
68,1,Dhaka,1999,3,7,0
69,1,Dhaka,1999,3,8,0
70,1,Dhaka,1999,3,9,0
71,1,Dhaka,1999,3,10,0
